541 21305
216 252 55
347 427 10
344 486 56
75 290 90
81 502 96
260 380 12
80 180 66
291 523 80
107 375 40
194 306 31
30 44 73
144 361 67
45 426 82
120 230 27
471 530 63
168 395 98
321 418 97
137 175 86
27 489 74
57 465 22
205 262 8
14 257 43
294 419 46
14 258 26
40 340 11
221 323 47
174 407 37
232 527 92
30 236 53
118 220 70
283 300 40
447 487 100
416 487 46
96 270 96
32 409 37
397 521 34
25 392 21
116 289 3
24 515 41
190 422 87
118 486 69
259 470 49
37 475 62
346 365 75
321 526 17
209 360 44
48 228 92
301 484 29
116 407 38
61 334 65
307 411 18
515 516 12
128 457 46
60 174 78
276 361 24
236 309 91
147 310 85
262 365 66
497 526 53
109 300 74
117 305 90
21 322 63
24 434 20
158 259 78
358 540 49
264 352 47
112 341 25
227 470 51
233 530 100
476 530 74
357 429 31
7 280 54
83 374 4
67 124 41
275 468 77
51 164 63
418 497 56
42 177 35
256 408 92
208 455 30
61 452 78
16 88 12
81 541 65
104 498 36
128 502 71
442 512 87
29 285 38
280 406 40
431 444 6
4 316 66
34 196 32
116 203 97
25 329 6
43 143 46
21 223 8
388 511 65
81 303 71
62 90 20
127 263 28
23 49 6
394 518 7
270 361 32
428 449 73
36 78 34
260 346 63
114 252 25
28 488 88
262 432 81
81 307 98
229 259 34
457 532 28
204 350 48
241 425 78
141 316 14
112 200 64
156 314 17
234 266 92
334 337 33
163 473 23
479 539 28
47 527 19
307 540 27
166 180 50
137 264 42
285 528 22
171 358 82
311 317 59
37 224 49
236 320 80
319 338 62
50 88 62
417 485 10
375 395 45
85 117 66
50 272 74
3 430 36
54 303 89
62 248 55
45 442 18
158 483 64
21 208 99
50 353 95
241 313 10
336 396 63
354 422 57
227 296 20
96 490 22
240 520 43
184 307 68
359 482 35
529 532 84
104 347 28
207 529 94
177 327 50
423 512 24
19 376 15
114 463 16
21 25 95
134 521 57
126 291 7
84 455 25
300 528 84
406 462 72
70 287 62
142 493 47
288 319 37
50 271 58
86 122 91
87 424 86
34 510 63
2 455 12
172 534 56
259 311 35
166 210 29
323 530 44
237 487 15
216 501 35
385 447 39
98 214 75
170 480 95
283 429 79
47 246 76
336 388 47
329 335 70
383 419 21
335 426 70
1 353 93
80 540 82
368 509 86
105 285 26
422 528 18
288 452 66
69 522 12
52 369 17
251 260 93
116 426 21
211 415 100
217 218 66
145 431 81
298 377 96
274 349 91
33 434 3
405 514 80
170 360 81
39 453 6
452 467 44
44 407 65
123 218 69
151 358 84
138 154 68
289 324 24
271 534 8
246 471 45
61 245 25
9 273 94
118 478 21
142 536 92
56 485 79
248 352 29
216 469 66
411 509 67
244 510 86
158 486 35
126 187 50
208 425 19
85 540 6
12 314 13
49 482 40
245 255 15
